Return_Trend,Momentum_Factor,Composite_Volatility,Latent_State_A,Latent_State_B,Latent_State_C,Tail_Kurtosis,Tail_Skew,Return_Trend_lag1,Momentum_Factor_lag1,Composite_Volatility_lag1,Latent_State_A_lag1,Latent_State_B_lag1,Latent_State_C_lag1,Tail_Kurtosis_lag1,Tail_Skew_lag1,Return_Trend_lag5,Momentum_Factor_lag5,Composite_Volatility_lag5,Latent_State_A_lag5,Latent_State_B_lag5,Latent_State_C_lag5,Tail_Kurtosis_lag5,Tail_Skew_lag5
-0.01249653267783833,-0.008162147021054953,-1.2836266515175065,-0.9087582207507192,-0.9089607017513301,-0.9093602449439508,-0.17475247363212176,-0.028193912460308015,-0.02457933770799696,-0.020210304667604387,-1.29056951514494,-0.909226750025874,-0.9092808919958013,-0.9098992707826629,-0.19295722554128192,-0.03760683841174621,-0.005872093781682245,-0.0016184488035755479,-1.3087776608581843,-0.911646119253274,-0.9123132986082687,-0.9148893222484966,-0.21490277041498862,-0.13886247783035388
-0.004164287297572141,0.0001765765989632708,-1.2747934561658218,-0.9077635272659431,-0.9081520880937404,-0.9088560267431169,-0.10588219132923049,-0.03594469772425272,-0.01249653267783833,-0.008162147021054953,-1.2836266515175065,-0.9087582207507192,-0.9089607017513301,-0.9093602449439508,-0.17475247363212176,-0.028193912460308015,-0.011809486649717336,-0.007550209222467719,-1.300832914335524,-0.9106810382544265,-0.9110167520913441,-0.9133758650993415,-0.27155740260869665,-0.1372309527386895
-0.00755389133895323,-0.0032239507421882863,-1.2655595682419902,-0.9066341742688625,-0.9070494130998903,-0.9082088594457384,-0.16813317635890224,-0.023684891729546874,-0.004164287297572141,0.0001765765989632708,-1.2747934561658218,-0.9077635272659431,-0.9081520880937404,-0.9088560267431169,-0.10588219132923049,-0.03594469772425272,-0.02586882920680521,-0.02158913504539139,-1.2944337232779384,-0.9099939680862716,-0.910118574892212,-0.9119297915038072,-0.26908732482427755,-0.10324435724917594
-0.004888017709326047,-0.0005082508608054738,-1.2633873732498035,-0.9052171439995917,-0.9057426948103755,-0.9073515741702822,-0.11949692498081443,-0.0799864648331654,-0.00755389133895323,-0.0032239507421882863,-1.2655595682419902,-0.9066341742688625,-0.9070494130998903,-0.9082088594457384,-0.16813317635890224,-0.023684891729546874,-0.019084174385626394,-0.014741005665145409,-1.2918705839504665,-0.9094228377088625,-0.9096356551364899,-0.9107151870833103,-0.2241490785619269,-0.05990218698221457
-0.028094101546217977,-0.023741770664311868,-1.2567626648641517,-0.9044871853921701,-0.9045624421540646,-0.9062751108081863,-0.14377473695769272,-0.07490372388002513,-0.004888017709326047,-0.0005082508608054738,-1.2633873732498035,-0.9052171439995917,-0.9057426948103755,-0.9073515741702822,-0.11949692498081443,-0.0799864648331654,-0.02457933770799696,-0.020210304667604387,-1.29056951514494,-0.909226750025874,-0.9092808919958013,-0.9098992707826629,-0.19295722554128192,-0.03760683841174621
-0.017238586682545454,-0.012852808020722589,-1.2484470441522117,-0.9043202822517448,-0.904372087687686,-0.9053215463201909,-0.06583209814301094,-0.051000355401566715,-0.028094101546217977,-0.023741770664311868,-1.2567626648641517,-0.9044871853921701,-0.9045624421540646,-0.9062751108081863,-0.14377473695769272,-0.07490372388002513,-0.01249653267783833,-0.008162147021054953,-1.2836266515175065,-0.9087582207507192,-0.9089607017513301,-0.9093602449439508,-0.17475247363212176,-0.028193912460308015
-0.019986844784174868,-0.015489823875478821,-1.2479029935058112,-0.903203348574425,-0.9035314141934891,-0.9044243023522569,-0.44604281495668907,-0.09718370956061481,-0.017238586682545454,-0.012852808020722589,-1.2484470441522117,-0.9043202822517448,-0.904372087687686,-0.9053215463201909,-0.06583209814301094,-0.051000355401566715,-0.004164287297572141,0.0001765765989632708,-1.2747934561658218,-0.9077635272659431,-0.9081520880937404,-0.9088560267431169,-0.10588219132923049,-0.03594469772425272
-0.00026549793329512864,0.004077959427250269,-1.241548968204753,-0.9019860759945955,-0.9024155148929205,-0.9035589759436488,-0.18087047792270683,0.08274659721299006,-0.019986844784174868,-0.015489823875478821,-1.2479029935058112,-0.903203348574425,-0.9035314141934891,-0.9044243023522569,-0.44604281495668907,-0.09718370956061481,-0.00755389133895323,-0.0032239507421882863,-1.2655595682419902,-0.9066341742688625,-0.9070494130998903,-0.9082088594457384,-0.16813317635890224,-0.023684891729546874
-0.00511198347019097,-0.0007115936859517008,-1.23504100399071,-0.9005412704831637,-0.901052788047759,-0.9026829035264101,-0.162044714177227,0.048101194369060296,-0.00026549793329512864,0.004077959427250269,-1.241548968204753,-0.9019860759945955,-0.9024155148929205,-0.9035589759436488,-0.18087047792270683,0.08274659721299006,-0.004888017709326047,-0.0005082508608054738,-1.2633873732498035,-0.9052171439995917,-0.9057426948103755,-0.9073515741702822,-0.11949692498081443,-0.0799864648331654
0.009857716189889568,0.014281329004506132,-1.2338591752262624,-0.8988229815279168,-0.8995265468651343,-0.9015137350914679,-0.067815473631049,0.0507209548479346,-0.00511198347019097,-0.0007115936859517008,-1.23504100399071,-0.9005412704831637,-0.901052788047759,-0.9026829035264101,-0.162044714177227,0.048101194369060296,-0.028094101546217977,-0.023741770664311868,-1.2567626648641517,-0.9044871853921701,-0.9045624421540646,-0.9062751108081863,-0.14377473695769272,-0.07490372388002513
-0.0005827739552035777,0.003917647212917694,-1.233934767664881,-0.8968965530186745,-0.8975346049779824,-0.9000230798608346,0.055328659002430225,0.07212252469222945,0.009857716189889568,0.014281329004506132,-1.2338591752262624,-0.8988229815279168,-0.8995265468651343,-0.9015137350914679,-0.067815473631049,0.0507209548479346,-0.017238586682545454,-0.012852808020722589,-1.2484470441522117,-0.9043202822517448,-0.904372087687686,-0.9053215463201909,-0.06583209814301094,-0.051000355401566715
0.0006420911533269909,0.0051161662782692775,-1.230840765202893,-0.8948007127097325,-0.8955652623755517,-0.8983230940340657,-0.0028974315309868715,0.041925219963023896,-0.0005827739552035777,0.003917647212917694,-1.233934767664881,-0.8968965530186745,-0.8975346049779824,-0.9000230798608346,0.055328659002430225,0.07212252469222945,-0.019986844784174868,-0.015489823875478821,-1.2479029935058112,-0.903203348574425,-0.9035314141934891,-0.9044243023522569,-0.44604281495668907,-0.09718370956061481
0.0038879517510350126,0.008346940282269438,-1.2218824275603317,-0.8929286143367162,-0.8936228089723748,-0.8964732638633628,0.02961743971932984,0.065859913505466,0.0006420911533269909,0.0051161662782692775,-1.230840765202893,-0.8948007127097325,-0.8955652623755517,-0.8983230940340657,-0.0028974315309868715,0.041925219963023896,-0.00026549793329512864,0.004077959427250269,-1.241548968204753,-0.9019860759945955,-0.9024155148929205,-0.9035589759436488,-0.18087047792270683,0.08274659721299006
0.001909039512072764,0.006373210626062387,-1.2152487048661662,-0.8910428113201491,-0.8917064852254327,-0.8945168287813697,0.031895067152770906,0.07007876875308672,0.0038879517510350126,0.008346940282269438,-1.2218824275603317,-0.8929286143367162,-0.8936228089723748,-0.8964732638633628,0.02961743971932984,0.065859913505466,-0.00511198347019097,-0.0007115936859517008,-1.23504100399071,-0.9005412704831637,-0.901052788047759,-0.9026829035264101,-0.162044714177227,0.048101194369060296
-0.008425162918032691,-0.003950137063368178,-1.2050640157822383,-0.8892127432591277,-0.8897894858637031,-0.892568361303395,-0.010754251604010001,0.12135321347427629,0.001909039512072764,0.006373210626062387,-1.2152487048661662,-0.8910428113201491,-0.8917064852254327,-0.8945168287813697,0.031895067152770906,0.07007876875308672,0.009857716189889568,0.014281329004506132,-1.2338591752262624,-0.8988229815279168,-0.8995265468651343,-0.9015137350914679,-0.067815473631049,0.0507209548479346
0.003439571725324396,0.007908983342951231,-1.2018076141141518,-0.8875006329696082,-0.8881762292066444,-0.8906970919947448,0.022362827949044206,0.08790156195897944,-0.008425162918032691,-0.003950137063368178,-1.2050640157822383,-0.8892127432591277,-0.8897894858637031,-0.892568361303395,-0.010754251604010001,0.12135321347427629,-0.0005827739552035777,0.003917647212917694,-1.233934767664881,-0.8968965530186745,-0.8975346049779824,-0.9000230798608346,0.055328659002430225,0.07212252469222945
